City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,mermoz boabab,14.7065,-17.4758,302.46,79,14,5.33,Mermoz Boabab,1686078063
178,aral,40.5156,81.2636,299.87,13,72,1.93,Aral,1686078063
179,esmeraldas,-19.7625,-44.3139,297.38,32,0,2.68,Esmeraldas,1686078063
180,gilgit,35.9221,74.3087,294.6,39,100,1.93,Gilgit,1686078063
181,moranbah,-22.0016,148.0466,287.31,96,4,4.54,Moranbah,1686078063
182,dongcun,36.7767,121.1597,292.57,62,100,1.55,Dongcun,1686078064
183,howard springs,-12.497,131.047,296.38,75,5,1.25,Howard Springs,1686078064
184,tura,25.5198,90.2201,300.35,54,0,1.93,Tura,1686078064
185,gabu,12.2833,-14.2167,309.47,26,19,1.56,Gabú,1686078064
186,la sarre,48.8002,-79.1996,291.57,27,0,6.98,La Sarre,1686078064
187,prince rupert,54.3161,-130.3201,285.94,69,100,2.76,Prince Rupert,1686078064
188,puerto lempira,15.2667,-83.7667,300.76,79,100,5.48,Puerto Lempira,1686078065
189,queenstown,-31.8976,26.8753,283.1,29,0,2.84,Queenstown,1686078065
190,porto novo,6.4965,2.6036,299.03,87,100,2.42,Porto-Novo,1686078065
191,udachny,66.4167,112.4,274.92,70,9,2.77,Udachny,1686078065
192,greater sudbury,46.49,-80.99,293.18,31,10,4.47,Greater Sudbury,1686078052
193,haiku-pauwela,20.9219,-156.3051,298.8,66,52,1.34,Haiku-Pauwela,1686078065
194,jamestown,42.097,-79.2353,296.22,39,0,3.58,Jamestown,1686078065
195,cockburn town,21.4612,-71.1419,302.16,76,81,4.09,Cockburn Town,1686078066
196,kavaratti,10.5669,72.642,302.92,75,88,8.14,Kavaratti,1686078066
197,jacksonville,30.3322,-81.6556,307.27,51,0,2.57,Jacksonville,1686078066
198,guozhen,34.3659,107.359,295.13,49,100,1.76,Guozhen,1686078066
199,sabang,5.8933,95.3214,301.59,77,100,11.19,Sabang,1686078066
200,longyearbyen,78.2186,15.6401,277.06,70,20,4.12,Longyearbyen,1686078015
201,seabra,-12.4186,-41.7703,300.58,37,64,3.64,Seabra,1686078067
202,fortuna,40.5982,-124.1573,287.66,87,75,3.09,Fortuna,1686078067
203,constantia,44.1833,28.65,288.54,66,80,5.0,Constanța,1686078047
204,utrik,11.2278,169.8474,300.78,84,85,8.47,Utrik,1686078067
205,matthew town,20.95,-73.6667,302.91,70,49,3.87,Matthew Town,1686078068
206,briare,47.6334,2.7438,295.71,68,1,4.57,Briare,1686078007
207,qianzhou,28.3167,109.7167,292.77,95,0,0.57,Jishou,1686078068
208,mouila,-1.8685,11.0559,296.95,93,100,1.18,Mouila,1686078068
209,mizdah,31.4451,12.9801,293.55,68,71,9.34,Mizdah,1686078068
210,kattivakkam,13.2167,80.3167,303.2,78,95,4.84,Kattivākkam,1686078068
211,batticaloa,7.7102,81.6924,301.56,77,100,1.61,Batticaloa,1686078068
212,lebu,-37.6167,-73.65,286.78,77,100,2.76,Lebu,1686078069
213,tchibanga,-2.85,11.0333,294.68,87,94,1.9,Tchibanga,1686078069
214,dauphin,51.1494,-100.0502,303.07,55,27,2.07,Dauphin,1686078069
215,revelstoke,50.9832,-118.2023,299.95,19,0,0.46,Revelstoke,1686078069
216,afaahiti,-17.75,-149.2833,299.08,76,100,6.75,Afaahiti,1686078070
217,invercargill,-46.4,168.35,275.43,92,56,1.75,Invercargill,1686078070
218,nuriootpa,-34.4833,139.0,288.98,81,94,3.89,Nuriootpa,1686078070
219,broken hill,-31.95,141.4333,290.55,82,100,6.2,Broken Hill,1686078070
220,yangchun,22.1667,111.7833,297.97,96,88,2.04,Yangchun,1686078070
221,celestun,20.8667,-90.4,302.91,65,63,5.37,Celestún,1686078070
222,swakopmund,-22.6833,14.5333,287.03,86,0,0.45,Swakopmund,1686078057
223,badeggi,9.05,6.15,299.59,76,92,2.15,Badeggi,1686078071
224,iskateley,67.6803,53.1512,277.88,84,98,6.38,Iskateley,1686078071
225,falmouth,50.1544,-5.0711,290.65,77,20,4.63,Falmouth,1686078071
226,veradale,47.6499,-117.2074,302.32,32,0,1.34,Veradale,1686078071
227,jesup,31.6074,-81.8854,304.11,40,40,2.06,Jesup,1686078071
228,gebeit,21.0667,36.3167,306.06,23,92,2.28,Gebeit,1686078072
229,katsuura,35.1333,140.3,291.16,93,99,3.34,Katsuura,1686078072
230,isangel,-19.55,169.2667,295.48,78,100,6.85,Isangel,1686078072
231,tefe,-3.3542,-64.7114,303.56,66,30,1.19,Tefé,1686078072
232,derry,54.9981,-7.3093,293.0,73,20,4.63,Londonderry,1686077988
233,elverum,60.8819,11.5623,289.46,47,96,3.82,Elverum,1686078073
234,ebon,4.582,168.6964,299.28,87,100,9.97,Ebon,1686078073
235,gerash,27.6652,54.1371,303.13,22,0,2.77,Gerāsh,1686078073
236,coquimbo,-29.9533,-71.3436,289.99,74,92,1.14,Coquimbo,1686078073
237,san pedro,14.35,121.0167,298.88,94,100,0.53,City of San Pedro,1686078073
238,nova sintra,14.8667,-24.7167,295.06,74,6,0.29,Nova Sintra,1686078074
239,malax,62.9423,21.5731,282.71,75,100,2.57,Maalahti,1686078074
240,dryden,49.7833,-92.7503,293.31,73,100,3.09,Dryden,1686078074
241,lira,2.235,32.9097,292.25,81,1,2.26,Lira,1686078074
242,arteche,12.2645,125.4048,298.68,88,30,1.69,Arteche,1686078074
243,moree,-29.4667,149.85,285.76,78,100,3.63,Moree,1686078075
244,goz beida,13.95,20.55,302.28,43,100,6.07,Goz Beida,1686078075
245,jinchang,38.4953,102.1739,290.98,33,100,2.81,Jinchang,1686078075
246,ugoofaaru,5.6667,73.0,301.97,81,77,5.89,Ugoofaaru,1686078075
247,namtsy,62.7161,129.6658,284.18,73,86,4.54,Namtsy,1686078076
248,conceicao do araguaia,-8.2578,-49.2647,304.46,43,5,1.18,Conceição do Araguaia,1686078076
249,bereket,39.2446,55.5154,299.84,54,100,7.32,Bereket,1686078076
250,thurgoona,-36.0451,146.9919,287.96,100,77,1.34,Thurgoona,1686078076
251,labytnangi,66.6572,66.4183,284.53,66,74,5.2,Labytnangi,1686078000
252,korla,41.7597,86.1469,298.73,24,21,3.37,Korla,1686078076
253,cidade velha,14.9167,-23.6167,299.41,69,0,2.57,Cidade Velha,1686078077
254,montmagny,48.9734,2.3469,298.35,43,0,5.14,Montmagny,1686078007
255,oneida,43.2001,-75.4663,291.93,72,100,4.63,Oneida,1686078077
256,juegang,32.3174,121.1855,291.67,92,57,3.18,Juegang,1686078077
257,aripuana,-9.1667,-60.6333,303.45,57,100,0.99,Aripuanã,1686078078
258,kapa'a,22.0752,-159.319,299.32,74,2,1.79,Kapaa,1686078078
259,zeya,53.75,127.2667,284.04,88,100,1.08,Zeya,1686078078
260,ta`u,-14.2336,-169.5144,300.64,75,97,10.16,Ta`ū,1686078078
261,thomson,33.4707,-82.5046,305.83,48,40,3.09,Thomson,1686078078
262,kerikeri,-35.2268,173.9474,285.32,91,100,2.68,Kerikeri,1686078079
263,capitan bado,-23.2667,-55.5333,296.23,59,0,4.0,Capitán Bado,1686078079
264,mirnyy,62.5353,113.9611,274.93,74,9,0.95,Mirny,1686078067
265,nabire,-3.3667,135.4833,297.37,91,100,1.32,Nabire,1686078079
266,port elizabeth,-33.918,25.5701,283.31,87,0,1.54,Port Elizabeth,1686078000
267,arraial do cabo,-22.9661,-42.0278,296.07,73,0,3.09,Arraial do Cabo,1686078079
268,ati,13.2154,18.3353,305.5,32,93,0.58,Ati,1686078080
269,jiazi,22.8779,116.067,299.62,88,81,2.08,Jiazi,1686078080
270,burutu,5.3509,5.5076,296.79,95,100,1.1,Burutu,1686078035
271,sisimiut,66.9395,-53.6735,273.25,83,99,4.14,Sisimiut,1686077997
272,hun,29.1268,15.9477,306.07,22,100,6.82,Hūn,1686078080
273,anori,-3.7728,-61.6442,305.65,51,61,1.89,Anori,1686078081
274,guerrero negro,27.9769,-114.0611,291.84,56,100,6.2,Guerrero Negro,1686078081
275,forster,-32.1667,152.5167,285.87,89,0,2.5,Forster,1686078081
276,scarborough,54.2797,-0.4044,284.91,86,95,0.89,Scarborough,1686078081
277,kiunga,-6.1219,141.2906,295.88,100,69,0.08,Kiunga,1686078082
278,shumikha,55.2261,63.2961,290.34,93,100,5.47,Shumikha,1686078082
279,madras,13.0878,80.2785,303.14,78,40,5.14,Chennai,1686077952
280,pisco,-13.7,-76.2167,293.72,77,2,4.78,Pisco,1686078082
281,namibe,-15.1961,12.1522,292.07,75,6,5.43,Mossamedes,1686078082
282,vadso,70.0744,29.7487,278.64,65,75,6.17,Vadsø,1686078082
283,moussoro,13.6408,16.4901,300.74,63,100,2.66,Moussoro,1686078083
284,toamasina,-18.1667,49.3833,296.15,94,75,1.03,Toamasina,1686077941
285,mwene-ditu,-7.0,23.45,296.83,46,100,1.57,Mwene-Ditu,1686078083
286,vilyuysk,63.7553,121.6247,277.02,83,9,1.96,Vilyuysk,1686078083
287,taoudenni,22.6783,-3.9836,310.5,13,0,3.63,Taoudenni,1686078083
288,naama,33.2667,-0.3167,296.95,32,100,1.8,Naama,1686078084
289,impfondo,1.6381,18.0667,298.52,74,37,1.11,Impfondo,1686078084
290,bardai,11.65,7.2333,299.37,69,100,3.69,Bardai,1686078084
291,n'dalatando,-9.2978,14.9116,293.65,80,100,1.39,N'dalatando,1686078084
292,menongue,-14.6585,17.691,290.07,37,1,1.78,Menongue,1686078084
293,trujillo,-8.116,-79.03,298.14,71,22,4.47,Trujillo,1686078085
294,uturoa,-16.7333,-151.4333,299.54,71,77,6.87,Uturoa,1686078085
295,khanty-mansiysk,61.0042,69.0019,288.21,62,0,0.0,Khanty-Mansiysk,1686077843
296,san jose de jachal,-30.2406,-68.7469,296.47,28,97,3.48,San José de Jáchal,1686078085
297,sandnessjoen,66.0217,12.6316,280.44,76,75,1.54,Sandnessjøen,1686078086
298,smithers,54.7804,-127.1743,284.33,50,0,2.06,Smithers,1686077894
